ok
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 1 | 0 |  [1]
2 | 7 | 20 |  [1->7->2]
3 | 7 | 8 |  [1->7->3]
4 | 5 | 20 |  [1->5->01->4]
5 | 5 | 6 |  [1->5]
6 | 7 | 22 |  [1->7->2->6]
7 | 7 | 7 |  [1->7]
8 | 7 | 12 |  [1->7->3->8]
9 | 7 | 20 |  [1->7->21->9]
10 | 5 | 9 |  [1->5->01]
11 | 7 | 28 |  [1->7->3->8->11]
12 | 7 | 15 |  [1->7->21]
13 | 7 | 26 |  [1->7->2->6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 7 | 20 |  [2->7->1]
2 | 2 | 0 |  [2]
3 | 7 | 14 |  [2->7->3]
4 | 6 | 21 |  [2->6->4]
5 | 7 | 26 |  [2->7->1->5]
6 | 6 | 2 |  [2->6]
7 | 7 | 13 |  [2->7]
8 | 7 | 18 |  [2->7->3->8]
9 | 6 | 13 |  [2->6->31->9]
10 | 7 | 29 |  [2->7->1->5->01]
11 | 6 | 27 |  [2->6->11]
12 | 6 | 18 |  [2->6->31->9->21]
13 | 6 | 6 |  [2->6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 7 | 8 |  [3->7->1]
2 | 7 | 14 |  [3->7->2]
3 | 3 | 0 |  [3]
4 | 7 | 28 |  [3->7->1->5->01->4]
5 | 7 | 14 |  [3->7->1->5]
6 | 7 | 16 |  [3->7->2->6]
7 | 7 | 1 |  [3->7]
8 | 8 | 4 |  [3->8]
9 | 12 | 13 |  [3->21->9]
10 | 7 | 17 |  [3->7->1->5->01]
11 | 8 | 20 |  [3->8->11]
12 | 12 | 8 |  [3->21]
13 | 7 | 20 |  [3->7->2->6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 10 | 20 |  [4->01->5->1]
2 | 6 | 21 |  [4->6->2]
3 | 10 | 28 |  [4->01->5->1->7->3]
4 | 4 | 0 |  [4]
5 | 10 | 14 |  [4->01->5]
6 | 6 | 19 |  [4->6]
7 | 10 | 27 |  [4->01->5->1->7]
8 | 10 | 32 |  [4->01->5->1->7->3->8]
9 | 10 | 28 |  [4->01->21->9]
10 | 10 | 11 |  [4->01]
11 | 6 | 44 |  [4->6->11]
12 | 10 | 23 |  [4->01->21]
13 | 6 | 23 |  [4->6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 1 | 6 |  [5->1]
2 | 1 | 26 |  [5->1->7->2]
3 | 1 | 14 |  [5->1->7->3]
4 | 10 | 14 |  [5->01->4]
5 | 5 | 0 |  [5]
6 | 1 | 28 |  [5->1->7->2->6]
7 | 1 | 13 |  [5->1->7]
8 | 1 | 18 |  [5->1->7->3->8]
9 | 10 | 20 |  [5->01->21->9]
10 | 10 | 3 |  [5->01]
11 | 1 | 34 |  [5->1->7->3->8->11]
12 | 10 | 15 |  [5->01->21]
13 | 10 | 27 |  [5->01->21->9->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 2 | 22 |  [6->2->7->1]
2 | 2 | 2 |  [6->2]
3 | 2 | 16 |  [6->2->7->3]
4 | 4 | 19 |  [6->4]
5 | 2 | 28 |  [6->2->7->1->5]
6 | 6 | 0 |  [6]
7 | 2 | 15 |  [6->2->7]
8 | 8 | 17 |  [6->8]
9 | 13 | 11 |  [6->31->9]
10 | 13 | 28 |  [6->31->9->21->01]
11 | 11 | 25 |  [6->11]
12 | 13 | 16 |  [6->31->9->21]
13 | 13 | 4 |  [6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 1 | 7 |  [7->1]
2 | 2 | 13 |  [7->2]
3 | 3 | 1 |  [7->3]
4 | 1 | 27 |  [7->1->5->01->4]
5 | 1 | 13 |  [7->1->5]
6 | 2 | 15 |  [7->2->6]
7 | 7 | 0 |  [7]
8 | 3 | 5 |  [7->3->8]
9 | 12 | 13 |  [7->21->9]
10 | 1 | 16 |  [7->1->5->01]
11 | 3 | 21 |  [7->3->8->11]
12 | 12 | 8 |  [7->21]
13 | 2 | 19 |  [7->2->6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 3 | 12 |  [8->3->7->1]
2 | 3 | 18 |  [8->3->7->2]
3 | 3 | 4 |  [8->3]
4 | 3 | 32 |  [8->3->7->1->5->01->4]
5 | 3 | 18 |  [8->3->7->1->5]
6 | 6 | 17 |  [8->6]
7 | 3 | 5 |  [8->3->7]
8 | 8 | 0 |  [8]
9 | 3 | 17 |  [8->3->21->9]
10 | 3 | 21 |  [8->3->7->1->5->01]
11 | 11 | 16 |  [8->11]
12 | 3 | 12 |  [8->3->21]
13 | 6 | 21 |  [8->6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 12 | 20 |  [9->21->7->1]
2 | 13 | 13 |  [9->31->6->2]
3 | 12 | 13 |  [9->21->3]
4 | 12 | 28 |  [9->21->01->4]
5 | 12 | 20 |  [9->21->01->5]
6 | 13 | 11 |  [9->31->6]
7 | 12 | 13 |  [9->21->7]
